Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt▼,PPR,DKPt,FDPt,VBD,PosRank,OvRank
202,David Njoku\NjokDa00,CLE,TE,24,1,0,0,0,0,0,0,0,0,,0,3,3,50,16.67,1,0,0,1,,,11,14.0,14.0,12.5,,28,
203,Marvin Hall\HallMa02,DET,WR,27,3,1,0,0,0,0,0,0,0,,0,4,2,50,25.00,1,0,0,1,,,11,13.0,13.0,12.0,,84,
204,Benny Snell Jr.\SnelBe00,PIT,RB,22,3,0,0,0,0,0,0,29,129,4.45,0,2,1,-4,-4.00,0,2,1,0,,,11,11.5,15.5,11.0,,59,
205,Zay Jones\JoneZa00,LVR,WR,25,3,0,0,0,0,0,0,0,0,,0,4,4,47,11.75,1,0,0,1,,,11,14.7,14.7,12.7,,85,
206,Jalen Guyton\GuytJa01,LAC,WR,23,3,2,0,0,0,0,0,0,0,,0,6,4,53,13.25,1,0,0,1,,,11,15.3,15.3,13.3,,82,
207,Freddie Swain\SwaiFr00,SEA,WR,22,3,0,0,0,0,0,0,0,0,,0,3,3,51,17.00,1,0,0,1,,,11,14.1,14.1,12.6,,83,
208,Quintez Cephus\CephQu00,DET,WR,22,3,1,0,0,0,0,0,0,0,,0,13,6,97,16.17,0,0,0,0,,,10,15.7,15.7,12.7,,91,
209,Darren Fells\FellDa01,HOU,TE,34,3,3,0,0,0,0,0,0,0,,0,8,4,42,10.50,1,0,0,1,,,10,14.2,14.2,12.2,,29,
210,Isaiah Ford\FordIs00,MIA,WR,24,3,0,0,0,0,0,0,0,0,,0,16,11,103,9.36,0,0,0,0,,,10,21.3,24.3,15.8,,86,
211,Kyle Rudolph\RudoKy00,MIN,TE,31,3,3,0,0,0,0,0,0,0,,0,6,4,39,9.75,1,0,0,1,,,10,13.9,13.9,11.9,,30,
212,Damiere Byrd\ByrdDa00,NWE,WR,27,3,2,0,0,0,0,0,0,0,,0,12,9,99,11.00,0,1,0,0,,,10,18.9,18.9,14.4,,89,
213,Evan Engram\EngrEv00,NYG,TE,26,3,2,0,0,0,0,0,0,0,,0,20,11,96,8.73,0,0,0,0,,,10,20.6,20.6,15.1,,31,
214,Jalen Reagor\ReagJa00,PHI,WR,21,2,2,0,0,0,0,0,0,0,,0,8,5,96,19.20,0,1,0,0,,,10,14.6,14.6,12.1,,92,
215,Boston Scott\ScotBo02,PHI,RB,25,3,1,0,0,0,0,0,16,59,3.69,0,6,5,43,8.60,0,0,0,0,,,10,15.2,15.2,12.7,,61,
216,Bryan Edwards\EdwaBr01,LVR,WR,22,3,3,0,0,0,0,0,0,0,,0,6,5,99,19.80,0,0,0,0,,,10,14.9,14.9,12.4,,88,
217,Devin Duvernay\DuveDe00,BAL,WR,23,3,0,0,0,0,0,0,0,0,,0,5,4,38,9.50,0,0,0,1,,,10,13.8,13.8,11.8,,90,
218,Mike Williams\WillMi07,LAC,WR,26,3,2,0,0,0,0,0,0,0,,0,14,7,100,14.29,0,0,0,0,,,10,17.0,20.0,13.5,,87,
219,J.D. McKissic\McKiJ.00,WAS,RB,27,3,2,0,0,0,0,0,16,66,4.13,0,9,4,38,9.50,0,0,0,0,,,10,14.4,14.4,12.4,,60,
220,Parris Campbell\CampPa00,IND,WR,23,2,2,0,0,0,0,0,2,16,8.00,0,9,6,71,11.83,0,0,0,0,,,9,14.7,14.7,11.7,,95,
221,Jordan Wilkins\WilkJo01,IND,RB,26,3,0,0,0,0,0,0,18,79,4.39,0,1,1,6,6.00,0,0,0,0,,,9,9.5,9.5,9.0,,64,
222,KJ Hamler\HamlKJ00,DEN,WR,21,2,1,0,0,0,0,0,2,7,3.50,0,12,6,78,13.00,0,0,0,0,,,9,14.5,14.5,11.5,,96,
223,Jesse James\JameJe00,DET,TE,26,3,1,0,0,0,0,0,0,0,,0,4,3,28,9.33,1,0,0,1,,,9,11.8,11.8,10.3,,33,
224,Chris Conley\ConlCh00,JAX,WR,28,3,1,0,0,0,0,0,0,0,,0,16,8,88,11.00,0,0,0,0,,,9,16.8,16.8,12.8,,94,
225,Saquon Barkley\BarkSa00,NYG,RB,23,2,2,0,0,0,0,0,19,34,1.79,0,9,6,60,10.00,0,0,0,0,,,9,15.4,15.4,12.4,,62,
226,Devontae Booker\BookDe00,LVR,RB,28,3,0,0,0,0,0,0,10,59,5.90,0,4,4,29,7.25,0,1,0,0,,,9,12.8,12.8,10.8,,63,
227,Josh Reynolds\ReynJo00,LAR,WR,25,3,3,0,0,0,0,0,0,0,,0,8,7,110,15.71,0,1,1,0,,,9,16.0,20.0,12.5,,93,
