Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Keelan Cole (15355942),Keelan Cole,15355942,WR/FLEX,4300,JAX@TEN 09/20/2020 01:00PM ET,JAX,15.7
TE,Eric Ebron (15356202),Eric Ebron,15356202,TE/FLEX,4300,DEN@PIT 09/20/2020 01:00PM ET,PIT,2.8
RB,Alexander Mattison (15355684),Alexander Mattison,15355684,RB/FLEX,4300,MIN@IND 09/20/2020 01:00PM ET,MIN,12
QB,Jake Fromm (15355570),Jake Fromm,15355570,QB,4300,BUF@MIA 09/20/2020 01:00PM ET,BUF,0
RB,Myles Gaskin (15355688),Myles Gaskin,15355688,RB/FLEX,4300,BUF@MIA 09/20/2020 01:00PM ET,MIA,10.6
RB,Antonio Gibson (15355686),Antonio Gibson,15355686,RB/FLEX,4300,WAS@ARI 09/20/2020 04:05PM ET,WAS,6.4
WR,Christian Kirk (15355938),Christian Kirk,15355938,WR/FLEX,4300,WAS@ARI 09/20/2020 04:05PM ET,ARI,1
QB,Robert Griffin III (15355569),Robert Griffin III,15355569,QB,4300,BAL@HOU 09/20/2020 04:25PM ET,BAL,0.26
WR,Willie Snead IV (15355940),Willie Snead IV,15355940,WR/FLEX,4300,BAL@HOU 09/20/2020 04:25PM ET,BAL,16.4
RB,Jamaal Williams (15355690),Jamaal Williams,15355690,RB/FLEX,4200,DET@GB 09/20/2020 01:00PM ET,GB,8.2
RB,Jerick McKinnon (15355692),Jerick McKinnon,15355692,RB/FLEX,4200,SF@NYJ 09/20/2020 01:00PM ET,SF,13.4
WR,Greg Ward (15355950),Greg Ward,15355950,WR/FLEX,4200,LAR@PHI 09/20/2020 01:00PM ET,PHI,8.1
WR,Laviska Shenault Jr. (15355948),Laviska Shenault Jr.,15355948,WR/FLEX,4200,JAX@TEN 09/20/2020 01:00PM ET,JAX,13.7
TE,Jonnu Smith (15356204),Jonnu Smith,15356204,TE/FLEX,4200,JAX@TEN 09/20/2020 01:00PM ET,TEN,13.6
WR,Mike Williams (15355946),Mike Williams,15355946,WR/FLEX,4200,KC@LAC 09/20/2020 04:25PM ET,LAC,10.9
QB,Tim Boyle (15355579),Tim Boyle,15355579,QB,4100,DET@GB 09/20/2020 01:00PM ET,GB,-0.2
QB,Nick Mullens (15355578),Nick Mullens,15355578,QB,4100,SF@NYJ 09/20/2020 01:00PM ET,SF,0
QB,Colt McCoy (15355577),Colt McCoy,15355577,QB,4100,NYG@CHI 09/20/2020 01:00PM ET,NYG,0
