Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Baltimore Ravens,6,29.8,342.2,60.2,5.7,0.83,0.33,19.0,17.3,27.5,177.8,1.67,0.50,5.9,10.3,30.2,164.3,1.17,5.4,7.67,6.17,53.2,1.00,44.8,7.5,6.36
2,Tampa Bay Buccaneers,6,29.5,358.2,64.5,5.6,1.17,0.50,21.2,23.8,37.3,249.0,2.33,0.67,6.4,12.2,25.8,109.2,1.00,4.2,6.00,7.00,68.3,3.00,42.9,8.6,6.79
3,Kansas City Chiefs,6,29.2,417.0,67.3,6.2,0.67,0.50,24.5,24.0,36.5,276.7,2.50,0.17,7.3,15.0,29.7,140.3,0.83,4.7,7.50,6.67,55.5,2.00,50.8,6.8,16.4
4,Dallas Cowboys,6,28.8,464.0,76.2,6.1,2.50,1.50,29.0,32.5,48.3,359.0,1.83,1.00,7.1,18.8,25.5,105.0,1.50,4.1,7.67,6.50,51.7,2.50,41.4,21.4,9.70
5,Seattle Seahawks,5,33.8,395.8,60.4,6.6,0.80,0.20,22.2,24.6,33.8,280.4,3.80,0.60,7.6,14.0,23.6,115.4,0.80,4.9,6.80,4.60,33.8,1.40,44.6,7.1,14.5
6,Arizona Cardinals,6,27.7,402.5,66.2,6.1,1.17,0.17,25.0,22.5,34.2,241.5,1.67,1.00,6.8,12.7,30.5,161.0,1.83,5.3,9.83,8.17,61.3,2.50,43.1,10.8,12.1
7,Tennessee Titans,5,32.8,422.0,68.4,6.2,0.60,0.20,25.6,24.2,34.6,264.2,2.60,0.40,7.4,15.2,32.6,157.8,1.40,4.8,8.20,5.20,46.2,2.20,54.7,5.7,19.0
8,Cleveland Browns,6,27.2,358.8,64.5,5.6,1.33,0.33,21.5,18.3,30.3,189.3,1.83,1.00,5.9,11.3,32.3,169.5,1.33,5.2,8.50,6.00,51.8,1.67,39.4,12.1,5.99
9,Green Bay Packers,5,32.4,396.6,64.4,6.2,0.40,0.00,23.2,22.8,34.8,257.2,2.60,0.40,7.1,14.0,28.0,139.4,1.00,5.0,6.80,5.00,47.8,2.40,52.9,3.9,14.3
10,Atlanta Falcons,6,27.0,403.2,70.7,5.7,0.83,0.33,23.5,26.5,40.8,291.2,1.83,0.50,6.8,15.7,27.7,112.0,1.00,4.0,6.33,5.33,47.7,1.50,48.5,7.4,9.88
11,Miami Dolphins,6,26.7,354.3,62.3,5.7,1.17,0.00,22.7,23.3,33.2,249.2,1.67,1.17,7.2,13.5,27.5,105.2,1.00,3.8,6.67,4.67,36.7,2.50,47.7,10.8,8.37
12,Indianapolis Colts,6,26.2,363.2,62.0,5.9,1.17,0.17,21.3,23.3,33.7,265.2,1.17,1.00,7.6,13.0,27.3,98.0,0.83,3.6,6.00,6.17,63.0,2.33,45.9,11.5,7.04
13,Buffalo Bills,6,26.0,369.2,62.7,5.9,1.50,0.83,23.5,24.7,36.8,277.0,2.67,0.67,7.2,13.8,24.2,92.2,0.67,3.8,7.17,6.17,60.8,2.50,44.1,13.6,12.6
14,Pittsburgh Steelers,5,31.2,358.0,66.6,5.4,0.80,0.60,21.2,23.0,33.2,221.2,2.20,0.20,6.4,12.0,31.8,136.8,1.40,4.3,7.60,5.80,51.0,1.60,43.9,5.3,11.1
15,Minnesota Vikings,6,25.8,374.2,59.3,6.3,2.00,0.33,22.2,18.8,29.2,235.0,1.83,1.67,7.5,11.5,27.8,139.2,1.33,5.0,8.67,4.50,34.3,2.00,36.8,17.6,7.35
16,New Orleans Saints,5,30.6,378.4,65.0,5.8,0.80,0.20,23.4,25.2,35.6,263.4,1.80,0.60,7.1,14.6,28.0,115.0,1.60,4.1,7.40,6.60,91.6,1.40,48.1,7.4,11.4
17,Los Angeles Rams,6,25.3,388.2,64.2,6.0,1.17,0.50,22.2,21.3,31.7,253.0,1.67,0.67,7.7,12.0,31.3,135.2,1.50,4.3,9.33,4.00,31.2,0.83,40.6,9.4,12.1
18,Las Vegas Raiders,5,30.2,399.4,65.8,6.1,1.40,1.20,23.8,25.6,35.0,278.4,2.20,0.20,7.6,14.0,29.2,121.0,1.20,4.1,7.40,5.40,43.4,2.40,56.0,14.0,14.5
19,San Francisco 49ers,6,24.7,368.5,65.3,5.6,1.17,0.33,22.0,22.8,34.8,240.7,1.67,0.83,6.4,14.2,27.5,127.8,1.33,4.6,5.50,6.00,56.2,2.33,40.0,10.8,6.17
20,Houston Texans,6,24.3,368.0,58.2,6.3,1.17,0.33,20.2,22.8,33.5,282.2,2.17,0.83,7.7,14.2,21.5,85.8,0.67,4.0,4.83,4.00,32.3,1.17,45.8,10.2,9.35
21,Philadelphia Eagles,6,23.5,329.3,67.0,4.9,2.00,0.50,21.3,23.2,39.3,207.0,1.33,1.50,4.8,11.7,23.5,122.3,1.17,5.2,7.00,5.67,45.3,2.67,31.9,16.7,0.22
22,Carolina Panthers,6,23.0,383.5,64.0,6.0,1.33,0.50,22.8,24.3,34.3,266.7,1.00,0.83,7.3,14.0,27.7,116.8,1.17,4.2,6.50,6.50,56.3,2.33,47.5,13.1,9.37
23,Detroit Lions,5,26.6,347.8,63.6,5.5,0.80,0.00,21.8,20.4,33.6,230.4,1.80,0.80,6.4,12.2,27.6,117.4,1.20,4.3,6.60,6.80,60.4,3.00,45.3,7.5,9.25
24,Cincinnati Bengals,6,21.5,343.3,72.3,4.7,1.33,0.67,22.5,26.7,41.0,241.5,1.00,0.67,5.4,15.2,27.3,101.8,1.00,3.7,5.83,6.33,49.2,1.50,38.6,11.4,0.89
25,Chicago Bears,6,21.3,312.8,64.8,4.8,1.17,0.00,20.7,24.3,39.7,222.8,2.00,1.17,5.4,13.3,23.3,90.0,0.33,3.9,5.17,7.50,72.8,2.17,35.3,10.3,2.70
26,Jacksonville Jaguars,6,20.8,351.2,63.5,5.5,1.50,0.67,22.0,27.0,40.0,261.8,1.83,0.83,6.1,14.7,20.5,89.3,0.67,4.4,5.00,6.17,54.0,2.33,39.0,15.3,5.72
27,Los Angeles Chargers,5,22.0,390.2,68.6,5.7,1.40,0.80,21.4,22.6,34.2,267.8,1.80,0.60,7.4,12.6,32.2,122.4,0.60,3.8,7.20,5.60,41.0,1.60,32.8,12.1,3.70
28,New England Patriots,5,21.8,374.4,66.2,5.7,2.00,0.60,23.6,20.2,31.0,207.2,0.60,1.40,6.2,11.8,33.0,167.2,1.60,5.1,10.0,2.40,27.8,1.80,34.6,19.2,4.17
29,Washington Football Team,6,18.0,275.3,63.8,4.3,1.67,1.00,19.0,23.0,36.3,193.2,1.00,0.67,4.8,11.8,23.5,82.2,1.17,3.5,5.33,5.00,41.2,1.83,28.6,12.9,-3.72
30,New York Giants,6,16.8,275.3,58.2,4.7,1.67,0.67,18.3,20.5,33.5,187.5,0.50,1.00,5.2,11.5,21.8,87.8,0.50,4.0,4.67,4.67,32.3,2.17,36.8,17.5,-3.24
31,Denver Broncos,5,20.0,305.2,63.2,4.8,2.00,0.40,18.2,19.0,33.2,204.2,1.20,1.60,5.6,10.0,27.0,101.0,0.60,3.7,4.80,4.60,46.0,3.40,35.6,16.9,-2.51
32,New York Jets,6,12.5,276.7,63.7,4.3,1.00,0.17,16.5,20.5,36.2,171.3,0.67,0.83,4.4,8.50,24.5,105.3,0.33,4.3,5.83,7.50,74.2,2.17,22.1,8.8,-9.37
