Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
152,Michael Gallup\GallMi00,DAL,WR,24,2,2,0,0,0,0,0,0,0,,0,10,5,108,21.60,0,0,0,0,,,11,15.8,18.8,13.3,,52,
153,Marvin Hall\HallMa02,DET,WR,27,2,1,0,0,0,0,0,0,0,,0,4,2,50,25.00,1,0,0,1,,,11,13.0,13.0,12.0,,50,
154,Kerryon Johnson\JohnKe06,DET,RB,23,2,2,0,0,0,0,0,15,46,3.07,1,1,0,0,,0,0,0,1,,,11,10.6,10.6,10.6,,46,
155,Will Fuller\FullWi01,HOU,WR,26,2,2,0,0,0,0,0,1,0,0.00,0,10,8,112,14.00,0,0,0,0,,,11,19.2,22.2,15.2,,49,
156,DeSean Jackson\JackDe00,PHI,WR,34,2,2,0,0,0,0,0,0,0,,0,16,8,110,13.75,0,0,0,0,,,11,19.0,22.0,15.0,,51,
157,O.J. Howard\HowaO.00,TAM,TE,26,2,0,0,0,0,0,0,0,0,,0,9,5,47,9.40,1,0,0,1,,,11,15.7,15.7,13.2,,21,
158,Jimmy Graham\GrahJi00,CHI,TE,34,2,2,0,0,0,0,0,0,0,,0,8,4,43,10.75,1,0,0,1,,,10,14.3,14.3,12.3,,23,
159,Zach Pascal\PascZa00,IND,WR,26,2,2,0,0,0,0,0,0,0,,0,7,5,37,7.40,1,0,0,1,,,10,14.7,14.7,12.2,,60,
160,Danny Amendola\AmenDa00,DET,WR,35,2,0,0,0,0,0,0,0,0,,0,14,7,102,14.57,0,0,0,0,,,10,17.2,20.2,13.7,,56,
161,Quintez Cephus\CephQu00,DET,WR,22,2,1,0,0,0,0,0,0,0,,0,13,6,97,16.17,0,0,0,0,,,10,15.7,15.7,12.7,,61,
162,Darren Fells\FellDa01,HOU,TE,34,2,2,0,0,0,0,0,0,0,,0,6,4,42,10.50,1,0,0,1,,,10,14.2,14.2,12.2,,24,
163,Tyler Eifert\EifeTy00,JAX,TE,30,2,1,0,0,0,0,0,0,0,,0,7,4,44,11.00,1,0,0,1,,,10,14.4,14.4,12.4,,22,
164,Alexander Mattison\MattAl01,MIN,RB,22,2,0,0,0,0,0,0,9,63,7.00,0,6,5,33,6.60,0,0,0,0,,,10,14.6,14.6,12.1,,49,
165,Jalen Reagor\ReagJa00,PHI,WR,21,2,2,0,0,0,0,0,0,0,,0,8,5,96,19.20,0,1,0,0,,,10,14.6,14.6,12.1,,62,
166,Boston Scott\ScotBo02,PHI,RB,25,2,1,0,0,0,0,0,13,54,4.15,0,5,5,43,8.60,0,0,0,0,,,10,14.7,14.7,12.2,,48,
167,Nelson Agholor\AghoNe00,LVR,WR,27,2,0,0,0,0,0,0,0,0,,0,2,2,42,21.00,1,0,0,1,,,10,12.2,12.2,11.2,,57,
168,Jalen Richard\RichJa01,LVR,RB,27,2,0,0,0,0,0,0,2,26,13.00,1,1,1,15,15.00,0,0,0,1,,,10,11.1,11.1,10.6,,47,
169,Freddie Swain\SwaiFr00,SEA,WR,22,2,0,0,0,0,0,0,0,0,,0,2,2,38,19.00,1,0,0,1,,,10,11.8,11.8,10.8,,59,
170,Kendrick Bourne\BourKe00,SFO,WR,25,2,2,0,0,0,0,0,0,0,,0,10,6,101,16.83,0,0,0,0,,,10,16.1,19.1,13.1,,58,
171,Parris Campbell\CampPa00,IND,WR,23,2,2,0,0,0,0,0,2,16,8.00,0,9,6,71,11.83,0,0,0,0,,,9,14.7,14.7,11.7,,70,
172,Robert Tonyan\TonyRo00,GNB,TE,26,2,1,0,0,0,0,0,0,0,,0,3,2,25,12.50,1,0,0,1,,,9,10.5,10.5,9.5,,25,
173,Chris Thompson\ThomCh03,JAX,RB,30,2,0,0,0,0,0,0,2,7,3.50,0,6,5,26,5.20,1,0,0,1,,,9,14.3,14.3,11.8,,52,
174,Isaiah Ford\FordIs00,MIA,WR,24,2,0,0,0,0,0,0,0,0,,0,14,9,89,9.89,0,0,0,0,,,9,17.9,17.9,13.4,,68,
175,Preston Williams\WillPr01,MIA,WR,23,2,2,0,0,0,0,0,0,0,,0,12,3,67,22.33,0,0,0,0,1,,9,11.7,11.7,10.2,,69,
176,Emmanuel Sanders\SandEm00,NOR,WR,33,2,1,0,0,0,0,0,0,0,,0,8,4,33,8.25,1,0,0,1,,,9,13.3,13.3,11.3,,63,
177,Tre'Quan Smith\SmitTr03,NOR,WR,24,2,2,0,0,0,0,0,0,0,,0,8,6,90,15.00,0,0,0,0,,,9,15.0,15.0,12.0,,66,
178,N'Keal Harry\HarrNK00,NWE,WR,23,2,2,0,0,0,0,0,0,0,,0,18,13,111,8.54,0,1,1,0,,,9,22.1,26.1,15.6,,64,
179,Saquon Barkley\BarkSa00,NYG,RB,23,2,2,0,0,0,0,0,19,34,1.79,0,9,6,60,10.00,0,0,0,0,,,9,15.4,15.4,12.4,,50,
180,Frank Gore\GoreFr00,NYJ,RB,37,2,2,0,0,0,0,0,27,87,3.22,0,2,0,0,,0,0,0,0,,,9,8.7,8.7,8.7,,54,
181,Benny Snell Jr.\SnelBe00,PIT,RB,22,2,0,0,0,0,0,0,22,118,5.36,0,2,1,-4,-4.00,0,2,1,0,,,9,10.4,14.4,9.9,,51,
