Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
1,Dalvin Cook\CookDa01,MIN,RB,25,9,9,0.00,0.00,0.00,0.00,0.00,22.3,118.8,5.32,1.44,3.33,2.78,26.0,9.36,0.11,0.33,0.22,1.56,0.33,,24.0,26.8,249.3,25.4,14.7,0.11,0.11
2,Alvin Kamara\KamaAl00,NOR,RB,25,10,6,0.00,0.00,0.00,0.00,0.00,11.7,53.1,4.54,0.80,8.10,6.70,64.8,9.67,0.40,0.10,0.00,1.20,,,19.0,25.7,262.9,22.3,10.6,0.20,0.20
3,Kyler Murray\MurrKy00,ARI,QB,23,10,10,24.1,35.3,264.4,1.90,0.80,9.20,61.9,6.73,1.00,0.00,0.00,0.00,,0.00,0.40,0.20,1.00,,,28.4,28.4,299.7,29.2,10.6,0.10,0.30
4,Derrick Henry\HenrDe00,TEN,RB,26,10,10,0.00,0.00,0.00,0.00,0.00,22.9,107.9,4.71,0.90,2.20,1.20,8.60,7.17,0.00,0.00,0.00,0.90,,,17.1,18.3,185.5,17.6,8.70,0.30,0.40
5,Patrick Mahomes\MahoPa00,KAN,QB,25,10,10,25.4,37.4,303.5,2.70,0.20,3.90,18.7,4.79,0.20,0.00,0.00,0.00,,0.00,0.10,0.00,0.20,,0.20,26.0,26.0,268.1,26.2,8.20,0.20,0.50
6,Russell Wilson\WilsRu00,SEA,QB,32,10,10,25.6,36.2,298.6,3.00,1.00,5.50,36.7,6.67,0.10,0.00,0.00,0.00,,0.00,0.60,0.30,0.10,,0.10,25.8,25.8,277.1,26.8,8.00,0.30,0.60
7,Travis Kelce\KelcTr00,KAN,TE,31,10,10,0.10,0.10,0.40,0.00,0.00,0.00,0.00,,0.00,9.00,6.60,89.6,13.58,0.70,0.10,0.10,0.70,,,13.0,19.6,199.8,16.3,7.20,0.10,0.70
8,Tyreek Hill\HillTy00,KAN,WR,26,10,10,0.00,0.00,0.00,0.00,0.00,1.00,6.00,6.00,0.10,8.60,5.50,75.2,13.67,1.00,0.10,0.00,1.10,,,14.7,20.2,205.2,17.5,6.60,0.10,0.80
9,Josh Allen\AlleJo02,BUF,QB,24,10,10,24.9,36.4,287.1,2.10,0.70,7.20,27.9,3.88,0.50,0.10,0.10,1.20,12.00,0.10,0.40,0.40,0.60,,,24.2,24.3,259.9,24.9,6.40,0.40,0.90
10,Davante Adams\AdamDa01,GNB,WR,28,8,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,11.1,8.50,105.9,12.46,1.25,0.13,0.13,1.25,,,17.9,26.3,214.7,22.1,7.63,0.25,1.25
