Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
11,Josh Jacobs\JacoJo01,LVR,RB,22,10,10,0.00,0.00,0.00,0.00,0.00,19.9,75.5,3.79,0.90,3.10,2.40,15.8,6.58,0.00,0.10,0.10,0.90,,,14.3,16.7,174.3,15.5,5.90,0.40,1.10
12,James Robinson\RobiJa00,JAX,RB,22,10,10,0.00,0.00,0.00,0.00,0.00,17.2,76.2,4.43,0.50,4.10,3.10,24.9,8.03,0.20,0.20,0.10,0.70,0.10,,14.3,17.4,181.1,15.9,5.90,0.50,1.20
13,D.K. Metcalf\MetcDK00,SEA,WR,23,10,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,7.70,4.80,86.2,17.96,0.90,0.10,0.10,0.90,,,13.8,18.6,190.2,16.2,5.70,0.30,1.30
14,Aaron Rodgers\RodgAa00,GNB,QB,37,10,10,24.0,35.2,288.9,2.90,0.40,1.70,7.80,4.59,0.10,0.10,0.10,-0.60,-6.00,0.00,0.20,0.20,0.10,,,23.3,23.4,242.8,23.7,5.50,0.50,1.40
15,Adam Thielen\ThieAd00,MIN,WR,30,10,10,0.00,0.00,0.00,0.00,0.00,0.30,1.50,5.00,0.00,7.60,4.90,64.6,13.18,1.10,0.00,0.00,1.10,0.10,,13.4,18.3,186.1,15.9,5.30,0.40,1.50
16,Deshaun Watson\WatsDe00,HOU,QB,25,10,10,23.3,33.8,288.3,2.00,0.50,5.40,26.9,4.98,0.20,0.00,0.00,0.00,,0.00,0.30,0.00,0.20,,,22.4,22.4,235.2,22.9,4.60,0.60,1.60
17,Ezekiel Elliott\ElliEz00,DAL,RB,25,10,10,0.00,0.00,0.00,0.00,0.00,17.1,67.5,3.95,0.50,5.10,3.80,24.9,6.55,0.20,0.50,0.40,0.70,0.10,,12.8,16.6,176.4,14.7,4.40,0.60,1.70
18,Kareem Hunt\HuntKa00,CLE,RB,25,10,4,0.00,0.00,0.00,0.00,0.00,14.7,64.4,4.38,0.40,3.00,2.20,15.1,6.86,0.40,0.10,0.00,0.80,,,12.8,14.9,155.5,13.8,4.40,0.70,1.80
19,Aaron Jones\JoneAa00,GNB,RB,26,8,8,0.00,0.00,0.00,0.00,0.00,14.1,66.8,4.73,0.75,5.38,4.00,32.6,8.16,0.25,0.25,0.00,1.00,,,16.0,19.9,165.5,17.9,5.50,1.00,2.38
20,Tyler Lockett\LockTy00,SEA,WR,28,10,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,8.80,6.70,74.8,11.16,0.80,0.00,0.00,0.80,,,12.3,19.0,192.8,15.6,4.10,0.50,2.00
21,Justin Herbert\HerbJu00,LAC,QB,22,9,9,26.4,38.9,299.9,2.44,0.67,4.33,20.8,4.79,0.33,0.00,0.00,0.00,,0.00,0.44,0.11,0.33,,,24.3,24.3,231.7,25.0,4.56,0.78,2.33
22,Todd Gurley\GurlTo01,ATL,RB,26,10,10,0.00,0.00,0.00,0.00,0.00,16.7,61.0,3.65,0.90,2.40,1.60,8.20,5.13,0.00,0.20,0.00,0.90,,,12.3,13.9,142.2,13.1,3.90,0.90,2.20
23,Tom Brady\BradTo00,TAM,QB,43,11,11,25.5,39.4,268.6,2.27,0.82,1.73,0.73,0.42,0.27,0.00,0.00,0.00,,0.00,0.36,0.09,0.27,,,19.7,19.7,230.0,20.5,3.55,0.73,2.09
24,Clyde Edwards-Helaire\EdwaCl00,KAN,RB,21,10,10,0.00,0.00,0.00,0.00,0.00,14.0,65.5,4.68,0.40,4.50,2.90,23.2,8.00,0.10,0.00,0.00,0.50,,,11.9,14.8,153.7,13.3,3.50,1.00,2.40
25,Chase Claypool\ClayCh01,PIT,WR,22,10,2,0.00,0.00,0.00,0.00,0.00,0.90,2.20,2.44,0.20,6.50,3.90,55.9,14.33,0.80,0.30,0.10,1.00,,,11.6,15.5,159.1,13.6,3.50,0.60,2.50
26,Antonio Gibson\GibsAn00,WAS,RB,22,10,6,0.00,0.00,0.00,0.00,0.00,11.9,53.0,4.45,0.80,3.20,2.70,21.2,7.85,0.00,0.20,0.20,0.80,,,11.8,14.5,153.2,13.2,3.40,1.10,2.60
27,Keenan Allen\AlleKe00,LAC,WR,28,10,9,0.00,0.10,0.00,0.00,0.00,0.00,0.00,,0.00,11.2,8.10,83.5,10.31,0.60,0.30,0.20,0.60,,,11.6,19.6,201.5,15.6,3.40,0.70,2.70
28,Stefon Diggs\DiggSt00,BUF,WR,27,10,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,10.1,7.30,90.6,12.41,0.40,0.00,0.00,0.40,,,11.5,18.8,190.6,15.1,3.30,0.80,2.80
29,Calvin Ridley\RidlCa00,ATL,WR,26,9,9,0.00,0.00,0.00,0.00,0.00,0.33,1.56,4.67,0.00,8.56,5.33,83.0,15.56,0.67,0.00,0.00,0.67,0.11,,12.7,18.0,165.1,15.3,3.67,1.00,3.22
30,DeAndre Hopkins\HopkDe00,ARI,WR,28,10,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,9.60,7.20,91.2,12.67,0.40,0.10,0.10,0.40,,,11.3,18.5,189.2,14.9,3.20,1.00,3.00
31,D.J. Moore\MoorD.00,CAR,WR,23,11,11,0.00,0.09,0.00,0.00,0.00,0.09,1.91,21.00,0.00,7.27,4.18,78.5,18.76,0.36,0.00,0.00,0.36,,,10.2,14.4,161.4,12.3,2.82,1.00,2.82
32,Ronald Jones II\JoneRo01,TAM,RB,23,11,11,0.00,0.00,0.00,0.00,0.00,13.9,68.5,4.93,0.45,3.45,2.36,11.3,4.77,0.00,0.18,0.18,0.45,,,10.4,12.7,147.8,11.5,2.73,1.09,2.91
33,Justin Jefferson\JeffJu00,MIN,WR,21,10,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,5.90,4.50,84.8,18.84,0.40,0.00,0.00,0.40,0.10,,11.1,15.6,158.8,13.3,2.90,1.20,3.30
34,Robert Woods\WoodRo02,LAR,WR,28,10,10,0.00,0.00,0.00,0.00,0.00,1.90,10.7,5.63,0.20,7.50,5.40,59.9,11.09,0.50,0.20,0.10,0.70,,,11.1,16.5,171.6,13.8,2.90,1.30,3.40
35,Mike Evans\EvanMi00,TAM,WR,27,11,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,6.55,4.09,51.2,12.51,0.82,0.00,0.00,0.82,,,10.0,14.1,158.3,12.1,2.64,1.27,3.18
36,Will Fuller\FullWi01,HOU,WR,26,10,10,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,6.80,4.70,70.8,15.06,0.60,0.00,0.00,0.60,,,10.7,15.4,156.8,13.0,2.50,1.50,3.60
37,James Conner\ConnJa00,PIT,RB,25,10,9,0.00,0.00,0.00,0.00,0.00,14.5,64.5,4.45,0.50,3.00,2.50,14.5,5.80,0.00,0.10,0.00,0.50,,,10.9,13.4,140.0,12.2,2.50,1.30,3.70
38,Terry McLaurin\McLaTe00,WAS,WR,25,10,10,0.00,0.00,0.00,0.00,0.00,0.20,3.00,15.00,0.00,9.30,6.20,87.1,14.05,0.30,0.10,0.10,0.30,,,10.6,16.8,172.1,13.7,2.50,1.60,3.80
39,Jonnu Smith\SmitJo01,TEN,TE,25,10,10,0.00,0.00,0.00,0.00,0.00,0.10,0.10,1.00,0.10,4.90,3.00,33.8,11.27,0.70,0.00,0.00,0.80,,,8.20,11.2,114.9,9.69,2.40,0.20,3.90
40,Mark Andrews\AndrMa00,BAL,TE,25,10,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,6.00,3.80,45.4,11.95,0.60,0.20,0.00,0.60,,,8.10,11.9,122.4,10.0,2.40,0.30,4.00
41,Darren Waller\WallDa01,LVR,TE,28,10,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,8.30,6.00,51.9,8.65,0.50,0.10,0.10,0.50,,,8.00,14.0,143.9,11.0,2.20,0.40,4.10
42,Ryan Tannehill\TannRy00,TEN,QB,32,10,10,20.4,31.2,238.7,2.20,0.40,2.80,14.9,5.32,0.10,0.10,0.10,0.00,0.00,0.00,0.50,0.10,0.10,0.10,0.10,19.8,19.9,210.4,20.3,2.00,0.90,4.20
43,Lamar Jackson\JackLa00,BAL,QB,23,10,10,17.5,27.6,194.8,1.50,0.60,10.3,57.5,5.58,0.30,0.00,0.00,0.00,,0.00,0.60,0.30,0.30,,0.10,19.7,19.7,212.4,20.3,2.00,1.00,4.30
44,Mike Davis\DaviMi01,CAR,RB,27,11,8,0.00,0.00,0.00,0.00,0.00,10.1,40.8,4.05,0.27,5.09,4.45,27.7,6.22,0.18,0.09,0.09,0.45,,,9.36,13.9,159.4,11.6,1.73,1.27,4.00
45,T.J. Hockenson\HockTJ00,DET,TE,23,10,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,6.00,4.00,44.1,11.03,0.50,0.00,0.00,0.50,0.10,,7.60,11.6,119.1,9.61,1.80,0.50,4.50
46,Robert Tonyan\TonyRo00,GNB,TE,26,10,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,3.70,3.20,39.1,12.22,0.60,0.00,0.00,0.60,,,7.50,10.7,110.1,9.11,1.70,0.60,4.60
47,Kenyan Drake\DrakKe00,ARI,RB,26,9,7,0.00,0.00,0.00,0.00,0.00,16.2,71.2,4.39,0.56,1.78,1.33,7.67,5.75,0.00,0.11,0.11,0.56,,,11.0,12.3,115.0,11.7,1.67,1.67,5.22
48,A.J. Brown\BrowAJ00,TEN,WR,23,8,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,7.38,4.50,67.5,15.00,0.88,0.00,0.00,0.88,,,12.0,16.5,135.0,14.3,1.88,2.13,6.00
49,Ben Roethlisberger\RoetBe00,PIT,QB,38,10,10,25.5,38.0,253.4,2.40,0.50,1.90,1.40,0.74,0.00,0.00,0.00,0.00,,0.00,0.30,0.00,0.00,,0.10,19.1,19.1,198.8,19.6,1.30,1.10,4.90
50,D'Andre Swift\SwifDA00,DET,RB,21,9,1,0.00,0.00,0.00,0.00,0.00,7.78,36.8,4.73,0.44,4.33,3.44,30.6,8.87,0.22,0.11,0.00,0.67,,,10.8,14.2,133.6,12.5,1.44,1.78,5.56
51,Jonathan Taylor\TaylJo02,IND,RB,21,10,8,0.00,0.00,0.00,0.00,0.00,13.5,51.8,3.84,0.40,2.70,2.60,22.7,8.73,0.00,0.10,0.10,0.40,,,9.70,12.3,129.5,10.9,1.30,1.70,5.10
52,Tyler Boyd\BoydTy00,CIN,WR,26,10,7,0.10,0.10,1.60,0.00,0.00,0.40,3.80,9.50,0.00,8.70,6.90,71.0,10.29,0.30,0.10,0.00,0.30,,,9.30,16.2,165.4,12.8,1.20,1.80,5.20
53,Allen Robinson\RobiAl02,CHI,WR,27,10,10,0.00,0.00,0.00,0.00,0.00,0.10,-0.10,-1.00,0.00,9.50,6.30,75.5,11.98,0.30,0.00,0.00,0.30,,,9.30,15.6,159.4,12.5,1.20,1.90,5.30
54,Melvin Gordon\GordMe00,DEN,RB,27,9,6,0.00,0.00,0.00,0.00,0.00,13.6,58.1,4.29,0.67,3.22,2.22,9.67,4.35,0.11,0.44,0.44,0.78,,,10.6,12.8,122.0,11.7,1.22,2.00,6.00
55,CeeDee Lamb\LambCe00,DAL,WR,21,10,8,0.00,0.00,0.00,0.00,0.00,0.70,4.50,6.43,0.00,7.40,4.80,62.9,13.10,0.40,0.20,0.10,0.40,0.10,,9.10,13.9,143.4,11.5,1.00,2.00,5.50
56,Darrell Henderson\HendDa00,LAR,RB,23,10,8,0.00,0.00,0.00,0.00,0.00,11.0,49.1,4.46,0.40,1.90,1.30,12.9,9.92,0.10,0.00,0.00,0.50,,,9.20,10.5,111.0,9.85,0.80,1.90,5.60
57,Amari Cooper\CoopAm00,DAL,WR,26,10,9,0.00,0.00,0.00,0.00,0.00,0.30,1.10,3.67,0.00,9.00,6.50,73.6,11.32,0.20,0.00,0.00,0.20,0.10,,8.90,15.4,156.7,12.1,0.70,2.10,5.70
58,Robby Anderson\AndeRo04,CAR,WR,27,11,11,0.00,0.00,0.00,0.00,0.00,0.09,0.27,3.00,0.00,8.64,6.45,74.4,11.52,0.09,0.09,0.09,0.09,0.09,,8.00,14.5,163.1,11.2,0.64,2.00,5.27
59,Tee Higgins\HiggTe00,CIN,WR,21,10,8,0.00,0.00,0.00,0.00,0.00,0.50,2.80,5.60,0.00,7.10,4.30,62.9,14.63,0.40,0.10,0.10,0.40,,,8.80,13.1,134.7,10.9,0.60,2.30,5.90
60,Rob Gronkowski\GronRo00,TAM,TE,31,11,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,5.00,2.82,36.3,12.87,0.36,0.09,0.00,0.36,,,5.82,8.63,97.9,7.22,0.55,0.64,5.45
61,Curtis Samuel\SamuCu00,CAR,WR,24,10,5,0.00,0.00,0.00,0.00,0.00,2.60,11.2,4.31,0.20,5.80,4.90,44.5,9.08,0.30,0.00,0.00,0.50,,,8.60,13.5,140.7,11.0,0.40,2.40,6.10
62,Julio Jones\JoneJu02,ATL,WR,31,8,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,7.25,5.63,84.6,15.04,0.38,0.00,0.00,0.38,,,10.8,16.3,133.7,13.5,0.50,3.13,7.75
63,Cooper Kupp\KuppCo00,LAR,WR,27,10,9,0.00,0.00,0.00,0.00,0.00,0.40,3.30,8.25,0.00,9.10,6.40,72.2,11.28,0.20,0.10,0.10,0.20,,,8.60,14.9,153.5,11.8,0.40,2.70,6.30
64,JuJu Smith-Schuster\SmitJu00,PIT,WR,24,10,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,7.50,5.80,53.5,9.22,0.50,0.00,0.00,0.50,0.10,,8.60,14.3,146.5,11.4,0.40,2.60,6.40
65,Hunter Henry\HenrHu00,LAC,TE,26,10,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,6.60,4.10,43.5,10.61,0.30,0.00,0.00,0.30,,,6.20,10.3,105.5,8.20,0.40,0.80,6.50
66,Nick Chubb\ChubNi00,CLE,RB,25,6,6,0.00,0.00,0.00,0.00,0.00,16.0,95.8,5.99,0.83,0.67,0.50,2.83,5.67,0.00,0.17,0.17,0.83,,,14.5,15.0,94.2,14.8,0.50,3.33,11.0
67,George Kittle\KittGe00,SFO,TE,27,6,6,0.00,0.00,0.00,0.00,0.00,0.33,2.83,8.50,0.00,8.17,6.17,79.0,12.81,0.33,0.00,0.00,0.33,,,10.2,16.3,101.1,13.3,0.50,1.50,11.2
68,Christian Kirk\KirkCh01,ARI,WR,24,9,8,0.00,0.00,0.00,0.00,0.00,0.11,0.33,3.00,0.00,5.78,3.44,53.0,15.39,0.67,0.11,0.00,0.67,,,9.33,12.8,118.0,11.1,0.33,3.11,7.56
69,Jimmy Graham\GrahJi00,CHI,TE,34,10,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,5.70,3.50,30.2,8.63,0.50,0.10,0.00,0.50,,,6.00,9.52,98.2,7.77,0.20,1.00,6.90
70,Miles Sanders\SandMi01,PHI,RB,23,7,7,0.00,0.00,0.00,0.00,0.00,14.6,83.6,5.74,0.43,5.00,2.43,16.6,6.82,0.00,0.43,0.29,0.43,0.14,,12.3,14.7,111.1,13.5,0.29,3.00,10.0
71,Nyheim Hines\HineNy00,IND,RB,24,10,1,0.00,0.00,0.00,0.00,0.00,5.10,17.9,3.51,0.20,4.50,3.60,29.6,8.22,0.40,0.00,0.00,0.60,0.10,,8.60,12.2,127.5,10.3,0.20,2.20,7.10
72,Chase Edmonds\EdmoCh00,ARI,RB,24,10,2,0.00,0.00,0.00,0.00,0.00,6.40,31.5,4.92,0.10,4.20,3.60,29.7,8.25,0.30,0.20,0.00,0.40,,,8.50,12.1,127.2,10.3,0.10,2.30,7.20
73,Hayden Hurst\HursHa00,ATL,TE,27,10,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,5.60,3.70,41.1,11.11,0.30,0.00,0.00,0.30,,,5.90,9.61,99.1,7.76,0.10,1.10,7.30
74,Cole Beasley\BeasCo00,BUF,WR,31,10,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,6.70,5.50,64.2,11.67,0.30,0.00,0.00,0.30,,,8.20,13.7,140.2,11.0,0.10,2.90,7.40
75,Derek Watt\WattDe00,PIT,,28,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,,,,,,,0.17,12.5
76,Johnny Stanton\StanJo02,CLE,,26,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,,,,,,,2.00,76.0
77,Brandin Cooks\CookBr00,HOU,WR,27,10,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,7.30,4.70,63.4,13.49,0.30,0.00,0.00,0.30,,,8.10,12.8,131.4,10.5,,3.00,7.70
78,Matt Ryan\RyanMa00,ATL,QB,35,10,10,25.5,38.8,297.8,1.50,0.70,2.20,6.80,3.09,0.10,0.00,0.00,0.00,,0.00,0.20,0.10,0.10,,0.10,17.8,17.8,188.9,18.5,,1.20,7.80
79,Teddy Bridgewater\BridTe00,CAR,QB,28,10,10,23.8,33.0,255.2,1.30,0.70,3.50,19.6,5.60,0.30,0.00,0.00,0.00,,0.00,0.10,0.10,0.30,,0.10,17.8,17.8,191.7,18.5,,1.30,
80,Carson Wentz\WentCa00,PHI,QB,28,10,10,22.0,37.7,232.6,1.40,1.40,4.40,21.6,4.91,0.50,0.00,0.00,0.00,,0.00,1.00,0.40,0.50,,0.50,17.5,17.5,198.6,18.9,,1.40,
81,Joe Burrow\BurrJo01,CIN,QB,24,10,10,26.4,40.4,268.8,1.30,0.50,3.70,14.2,3.84,0.30,0.00,0.00,0.00,,0.00,0.90,0.40,0.30,,,17.4,17.4,188.7,17.9,,1.50,
82,Jared Goff\GoffJa00,LAR,QB,26,10,10,25.2,37.2,282.3,1.60,0.80,3.00,4.40,1.47,0.20,0.00,0.00,0.00,,0.00,0.60,0.30,0.20,,0.10,17.3,17.3,187.3,18.1,,1.60,
83,Derek Carr\CarrDe02,LVR,QB,29,10,10,21.9,31.4,243.1,1.90,0.30,3.00,12.4,4.13,0.00,0.00,0.00,0.00,,0.00,0.80,0.50,0.00,,,17.0,17.0,183.6,17.3,,1.70,
84,Cam Newton\NewtCa00,NWE,QB,31,9,9,18.8,27.6,211.1,0.44,0.78,9.22,37.9,4.11,1.00,0.11,0.11,1.78,16.00,0.00,0.33,0.11,1.00,,0.11,18.7,18.7,182.7,19.5,,2.00,
85,Matthew Stafford\StafMa00,DET,QB,32,10,10,21.6,34.4,258.1,1.70,0.70,2.10,8.20,3.90,0.00,0.00,0.00,0.00,,0.00,0.10,0.10,0.00,,0.10,16.5,16.5,176.4,17.2,,1.90,
86,Kirk Cousins\CousKi00,MIN,QB,32,10,10,18.4,27.5,246.1,2.00,1.10,1.30,5.80,4.46,0.00,0.00,0.00,0.00,,0.00,0.30,0.20,0.00,,0.30,16.4,16.4,180.2,17.5,,2.00,
87,Drew Brees\BreeDr00,NOR,QB,41,9,9,24.3,33.1,244.0,2.00,0.33,1.67,0.11,0.07,0.22,0.00,0.00,0.00,,0.00,0.56,0.22,0.22,,,18.0,18.0,169.9,18.3,,2.33,
88,Philip Rivers\RivePh00,IND,QB,39,10,10,23.9,34.9,268.3,1.40,0.80,1.30,-0.30,-0.23,0.00,0.00,0.00,0.00,,0.00,0.10,0.00,0.00,,,14.7,14.7,158.0,15.5,,2.20,
89,Daniel Jones\JoneDa05,NYG,QB,23,10,10,21.2,33.4,212.2,0.80,0.90,4.90,38.4,7.84,0.10,0.00,0.00,0.00,,0.00,0.70,0.40,0.10,,0.10,13.7,13.7,156.3,14.6,,2.30,
90,Dak Prescott\PresDa01,DAL,QB,27,5,5,30.2,44.4,371.2,1.80,0.80,3.60,18.6,5.17,0.60,0.20,0.20,2.20,11.00,0.20,0.60,0.60,0.80,0.20,0.20,27.0,27.1,145.6,27.8,,4.80,
91,Gardner Minshew II\MinsGa00,JAX,QB,24,7,7,25.1,38.1,265.0,1.86,0.71,3.57,17.4,4.88,0.14,0.14,0.14,0.00,0.00,0.00,0.57,0.43,0.14,,0.14,18.6,18.8,145.4,19.4,,3.57,
92,Baker Mayfield\MayfBa00,CLE,QB,25,10,10,16.1,26.5,185.0,1.50,0.70,2.80,7.50,2.68,0.00,0.00,0.00,0.00,,0.00,0.30,0.10,0.00,,,12.6,12.6,136.5,13.3,,2.60,
93,Ryan Fitzpatrick\FitzRy00,MIA,QB,38,7,6,21.4,30.7,236.0,1.43,1.14,3.86,20.1,5.22,0.29,0.14,0.14,0.00,0.00,0.00,0.14,0.00,0.29,0.14,0.29,17.4,17.6,137.2,18.7,,3.86,
94,Nick Foles\FoleNi00,CHI,QB,31,8,7,25.3,38.9,231.5,1.25,1.00,1.75,0.38,0.21,0.13,0.00,0.00,0.00,,0.00,0.25,0.00,0.13,,,13.0,13.1,115.4,14.1,,3.50,
95,Drew Lock\LockDr00,DEN,QB,24,8,8,18.6,33.5,220.9,0.88,1.38,3.00,11.0,3.67,0.25,0.00,0.00,0.00,,0.00,0.63,0.13,0.25,,,11.9,11.9,110.5,13.3,,3.63,
96,Jerick McKinnon\McKiJe00,SFO,RB,28,10,4,0.00,0.00,0.00,0.00,0.00,7.70,29.4,3.82,0.50,3.60,2.50,18.6,7.44,0.10,0.00,0.00,0.60,,,8.40,10.9,115.0,9.65,,2.40,
97,Rex Burkhead\BurkRe00,NWE,RB,30,10,0,0.00,0.00,0.00,0.00,0.00,6.70,27.4,4.09,0.30,3.30,2.50,19.2,7.68,0.30,0.00,0.00,0.60,,,8.30,10.8,113.6,9.51,,2.60,
98,Chris Carson\CarsCh00,SEA,RB,26,6,6,0.00,0.00,0.00,0.00,0.00,11.0,53.8,4.89,0.50,4.17,3.67,24.5,6.68,0.50,0.17,0.00,1.00,,,13.8,17.5,111.0,15.7,,4.17,
99,Brandon Aiyuk\AiyuBr00,SFO,WR,22,8,8,0.00,0.00,0.00,0.00,0.00,0.63,7.63,12.20,0.25,7.00,4.38,55.8,12.74,0.38,0.00,0.00,0.63,,,10.1,14.5,118.7,12.3,,3.88,
100,Nelson Agholor\AghoNe00,LVR,WR,27,10,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,3.80,2.40,44.3,18.46,0.60,0.00,0.00,0.60,,,8.00,10.4,107.3,9.23,,3.20,
101,David Montgomery\MontDa01,CHI,RB,23,9,8,0.00,0.00,0.00,0.00,0.00,14.6,52.4,3.60,0.11,4.56,3.33,23.6,7.07,0.11,0.11,0.11,0.22,0.11,,8.89,12.3,117.4,10.6,,3.00,
102,David Johnson\JohnDa08,HOU,RB,29,8,8,0.00,0.00,0.00,0.00,0.00,12.9,51.0,3.96,0.38,3.13,2.00,20.1,10.06,0.13,0.13,0.13,0.50,,,9.88,11.9,101.9,10.9,,3.50,
103,Joe Mixon\MixoJo00,CIN,RB,24,6,6,0.00,0.00,0.00,0.00,0.00,19.8,71.3,3.60,0.50,4.33,3.50,23.0,6.57,0.17,0.17,0.17,0.67,,,13.2,16.6,106.6,14.8,,4.83,
104,Malcolm Brown\BrowMa03,LAR,RB,27,10,0,0.00,0.00,0.00,0.00,0.00,8.40,36.7,4.37,0.50,2.40,1.70,10.5,6.18,0.00,0.00,0.00,0.50,,,7.70,9.42,100.2,8.57,,3.00,
105,DJ Chark\CharDJ00,JAX,WR,24,9,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,7.33,4.56,59.3,13.02,0.44,0.00,0.00,0.44,,,8.56,13.2,121.4,10.9,,3.67,
106,Diontae Johnson\JohnDi01,PIT,WR,24,9,9,0.00,0.00,0.00,0.00,0.00,0.22,1.44,6.50,0.00,9.00,5.44,59.7,10.96,0.44,0.11,0.11,0.44,,,8.56,14.0,130.0,11.3,,3.78,
107,Keelan Cole\ColeKe00,JAX,WR,27,10,3,0.00,0.00,0.00,0.00,0.00,0.10,0.20,2.00,0.00,5.40,3.60,45.3,12.58,0.40,0.00,0.00,0.50,,,7.60,11.2,114.5,9.35,,3.70,
108,Marvin Jones\JoneMa02,DET,WR,30,10,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,5.70,3.70,45.5,12.30,0.50,0.00,0.00,0.50,,,7.60,11.3,115.5,9.40,,3.60,
109,DeVante Parker\ParkDe01,MIA,WR,27,10,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,6.50,4.40,52.3,11.89,0.40,0.00,0.00,0.40,,,7.60,12.0,123.3,9.83,,3.50,
